date,open,high,low,close,volume
2026-01-01,243.0,245.0,241.22,243.25,837633
2026-01-02,243.29,246.85,241.05,245.88,933297
2026-01-05,246.4,247.39,242.3,244.58,575835
2026-01-06,244.38,247.0,241.0,242.53,730374
2026-01-07,241.5,243.82,240.7,242.74,427920
2026-01-08,242.14,242.6,235.6,236.61,569746
