date,portfolio_value,cash,position_value,position,daily_return
2026-01-01,99962.77034425,75151.27034425,24811.5,102,
2026-01-02,100231.03034425,75151.27034425,25079.76,102,0.002683599094704725
2026-01-05,100098.43034425001,75151.27034425,24947.16,102,-0.0013229435988492133
